Diagnosed Diabetes; 18-44 (Age); Adults Aged 18+ Years; Percentage; U.S. States
Data downloaded on 30-January-2024
Year,State,Percentage,Lower Limit, Upper Limit
2000,Median of States,1.8,1.6,2
2001,Median of States,2,1.8,2.2
2002,Median of States,2.1,1.9,2.4
2003,Median of States,2.2,2,2.4
2004,Median of States,2.2,2,2.5
2005,Median of States,2.3,2.2,2.6
2006,Median of States,2.3,2.1,2.7
2007,Median of States,2.5,2.1,2.7
2008,Median of States,2.6,2.4,3
2009,Median of States,2.8,2.2,2.9
2010,Median of States,2.7,2.5,3.1
2011,Median of States,2.9,2.8,3.2
2012,Median of States,3,2.7,3.3
2013,Median of States,2.8,2.6,3.2
2014,Median of States,2.8,2.6,3.1
2015,Median of States,2.6,2.3,3
2016,Median of States,2.7,2.5,3.1
2017,Median of States,2.9,2.5,3.2
2018,Median of States,3.1,2.9,3.5
2019,Median of States,2.9,2.7,3.2
2020,Median of States,3.2,2.8,3.4
2021,Median of States,3,2.8,3.3
2000,Guam,No Data,No Data,No Data
2000,Virgin Islands of the U.S.,No Data,No Data,No Data
2000,Alabama,2.3,1.5,3.4
2000,Alaska,1.1,0.6,2.1
2000,Arizona,1.4,0.7,2.7
2000,Arkansas,2.2,1.5,3.2
2000,California,2.9,1.8,4.5
2000,Colorado,0.9,0.4,1.7
2000,Connecticut,1.5,1.1,2.2
2000,Delaware,2.2,1.4,3.3
2000,District of Columbia,1.7,0.9,3.1
2000,Florida,1.7,1.2,2.4
2000,Georgia,2,1.4,2.8
2000,Hawaii,1.4,1,2
2000,Idaho,1.4,1,2
2000,Illinois,1.4,1,2.1
2000,Indiana,1.2,0.7,1.9
2000,Iowa,2,1.2,3.1
2000,Kansas,1.6,1.1,2.3
2000,Kentucky,1.6,1.1,2.5
2000,Louisiana,2.3,1.7,3.1
2000,Maine,1.6,0.9,2.8
2000,Maryland,2.7,2,3.7
2000,Massachusetts,1.3,0.9,1.7
2000,Michigan,2.2,1.5,3.1
2000,Minnesota,0.8,0.5,1.4
2000,Mississippi,3.1,2.3,4.2
2000,Missouri,1.8,1.2,2.9
2000,Montana,1,0.6,1.8
2000,Nebraska,1.3,0.9,2.1
2000,Nevada,1.7,0.9,3
2000,New Hampshire,0.9,0.5,1.7
2000,New Jersey,1.6,1.1,2.3
2000,New Mexico,2.1,1.4,3
2000,New York,2.1,1.4,3.1
2000,North Carolina,1.9,1.3,2.7
2000,North Dakota,1.5,0.8,3
2000,Ohio,2,1.3,3.2
2000,Oklahoma,2.5,1.8,3.4
2000,Oregon,2.3,1.4,3.5
2000,Pennsylvania,1.9,1.3,2.8
2000,Rhode Island,1.9,1.3,2.8
2000,South Carolina,1.9,1.3,2.8
2000,South Dakota,2,1.4,2.8
2000,Tennessee,2.2,1.5,3.2
2000,Texas,1.9,1.4,2.5
2000,Utah,1.6,1,2.7
2000,Vermont,1.2,0.8,1.9
2000,Virginia,1.8,0.6,5
2000,Washington,2.4,1.7,3.4
2000,West Virginia,1.9,1.2,2.8
2000,Wisconsin,1.6,1,2.5
2000,Wyoming,1.8,1.1,2.9
2000,Puerto Rico,2.4,1.6,3.6
2001,Alabama,3.2,2.3,4.5
2001,Alaska,1,0.6,1.6
2001,Arizona,2.1,1.3,3.4
2001,Arkansas,2.7,1.7,4.1
2001,California,2,1.4,2.7
2001,Colorado,1.3,0.8,2.1
2001,Connecticut,2,1.4,2.7
2001,Delaware,2.9,2,4.2
2001,District of Columbia,2.5,1.5,4.1
2001,Florida,2.6,1.9,3.5
2001,Georgia,2,1.5,2.7
2001,Hawaii,2.1,1.1,4
2001,Idaho,2,1.5,2.8
2001,Illinois,1.4,1,2.1
2001,Indiana,2.4,1.8,3.2
2001,Iowa,1.9,1.3,2.7
2001,Kansas,1.8,1.3,2.5
2001,Kentucky,2.6,2,3.4
2001,Louisiana,2.6,2,3.3
2001,Maine,1.8,1.2,2.7
2001,Maryland,2.2,1.6,3.1
2001,Massachusetts,1.5,1.1,2
2001,Michigan,2.4,1.7,3.4
2001,Minnesota,1.3,0.8,2.1
2001,Mississippi,3.9,2.9,5.4
2001,Missouri,1.9,1.3,2.8
2001,Montana,1.8,1.1,2.8
2001,Nebraska,0.9,0.5,1.5
2001,Nevada,1.6,0.9,3
2001,New Hampshire,1.4,1,2.1
2001,New Jersey,2.6,1.8,3.6
2001,New Mexico,1.6,1.1,2.4
2001,New York,2,1.4,2.9
2001,North Carolina,1.5,1.1,2.1
2001,North Dakota,1.4,0.8,2.2
2001,Ohio,2.2,1.5,3.1
2001,Oklahoma,2.4,1.7,3.3
2001,Oregon,1.8,1.2,3
2001,Pennsylvania,1.5,1,2.2
2001,Rhode Island,2.1,1.4,3
2001,South Carolina,2.7,1.9,3.8
2001,South Dakota,1.6,1.2,2.3
2001,Tennessee,2.4,1.7,3.4
2001,Texas,2.5,2,3.3
2001,Utah,1.4,0.9,2.2
2001,Vermont,0.9,0.6,1.4
2001,Virginia,1.8,1.2,2.6
2001,Washington,1.6,1.2,2.3
2001,West Virginia,2.3,1.5,3.4
2001,Wisconsin,1.3,0.9,2
2001,Wyoming,1.6,1,2.5
2001,Guam,3.2,1.8,5.8
2001,Puerto Rico,2.2,1.5,3.1
